instance,family,activation,dim,modules,threshold_label,task_kind,threshold_reference,t,g_min,threshold_margin,is_true_threshold,n_violating_live_leaves,U_ge_transfer,dict_size_thr_transfer,dict_size_thr_parent,dict_size_thr_drop,dict_size_thr_mix,dict_size_threshold_union,OPT_ge_exposed_milp,OPT_ge_exposed_greedy,OPT_ge_exposed_lp_rounding,LB_ge_omega_common,LB_ge_chi_exact_common,LB_ge_omega_exposed,LB_ge_chi_exact_exposed,LB_ge_omega,LB_ge_chi_exact,T_min_ge_milp,timeout_ge_milp,false_control_behavior,OPT_ge_over_OPT_eq,gap_transfer_over_opt,gap_opt_over_lb_exposed,true_VAC_ge_L_grd
FamilyA_d2_M8_maxout_seed0,FamilyA,maxout,2,8,tight_true,canonical_true,g_min,0.32499999999999996,0.32499999999999996,0.0,True,0,29.0,29,0,213,0,213,15.0,15.0,15.0,1,,13,,13,,0.004180675372481346,False,finite_cover,0.5172413793103449,1.9333333333333333,1.1538461538461537,
FamilyA_d2_M8_maxout_seed0,FamilyA,maxout,2,8,false_control,false_control,g_min_plus_delta,0.345,0.32499999999999996,-0.020000000000000018,False,4,inf,25,0,181,0,181,inf,inf,inf,7,,16,,16,,0.0008693039417266846,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_maxout_seed1,FamilyA,maxout,2,8,tight_true,canonical_true,g_min,1.0687499999999999,1.0687499999999999,0.0,True,0,25.0,25,0,185,0,185,13.0,13.0,13.0,1,,13,,13,,0.004193894565105438,False,finite_cover,0.52,1.9230769230769231,1.0,
FamilyA_d2_M8_maxout_seed1,FamilyA,maxout,2,8,false_control,false_control,g_min_plus_delta,1.0887499999999999,1.0687499999999999,-0.020000000000000018,False,4,inf,21,0,153,0,153,inf,inf,inf,8,,13,,13,,0.000874202698469162,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_maxout_seed2,FamilyA,maxout,2,8,tight_true,canonical_true,g_min,0.9133333333333332,0.9133333333333332,0.0,True,0,27.0,27,0,199,0,199,14.0,14.0,14.0,1,,11,,11,,0.004189414903521538,False,finite_cover,0.5185185185185185,1.9285714285714286,1.2727272727272727,
FamilyA_d2_M8_maxout_seed2,FamilyA,maxout,2,8,false_control,false_control,g_min_plus_delta,0.9333333333333332,0.9133333333333332,-0.020000000000000018,False,6,inf,21,0,152,0,152,inf,inf,inf,10,,15,,15,,0.0008722944185137749,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_relu_seed0,FamilyA,relu,2,10,tight_true,canonical_true,g_min,-0.5800000000000001,-0.5800000000000001,0.0,True,0,43.0,43,0,384,0,384,23.0,23.0,23.0,1,,16,,16,,0.0045478809624910355,False,finite_cover,0.5348837209302325,1.8695652173913044,1.4375,
FamilyA_d2_M10_relu_seed0,FamilyA,relu,2,10,false_control,false_control,g_min_plus_delta,-0.56,-0.5800000000000001,-0.020000000000000018,False,8,inf,35,0,321,0,321,inf,inf,inf,12,,16,,16,,0.0010496871545910835,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M10_relu_seed1,FamilyA,relu,2,10,tight_true,canonical_true,g_min,-0.48000000000000004,-0.48000000000000004,0.0,True,0,44.0,44,0,384,0,384,23.0,23.0,23.0,1,,16,,16,,0.00457968283444643,False,finite_cover,0.5227272727272727,1.9130434782608696,1.4375,
FamilyA_d2_M10_relu_seed1,FamilyA,relu,2,10,false_control,false_control,g_min_plus_delta,-0.46,-0.48000000000000004,-0.020000000000000018,False,6,inf,38,0,349,0,349,inf,inf,inf,9,,16,,16,,0.0010819686576724052,False,no_finite_cover_or_timeout,,,,
